nome,idade,cpf,rg,data_nasc,sexo,signo,mae,pai,email,cep,endereco,numero,bairro,data,cidade,estado,telefone_fixo,celular,altura,peso,,tipo_sanguineo,cor,valor_compra
Marcos Fábio Santos,40,504.191.339-09,44.125.867-0,02/03/1983,Masculino,Peixes,Carolina Daiane Laura,Manoel Marcos Yuri Santos,marcosfabiosantos@publifix.com.br,25215-425,Alameda Francisco de Miranda,991,Jardim Primavera,25/03/2022,Duque de Caxias,RJ,(21) 2965-3623,(21) 98227-3468,,68,,A+,roxo,"R$ 5.300,00"
Evelyn Eduarda Almada,66,459.409.015-06,12.653.143-2,20/01/1957,Feminino,Capricórnio,Hadassa Caroline Rafaela,Caio Bento Almada,evelyn_almada@kantoferramentaria.com.br,60874-690,Rua Pereira Coutinho,118,Pedras,25/03/2022,Fortaleza,CE,(85) 2698-1820,(85) 99404-0530,,58,,A+,verde,"R$ 1.400,00"
Alícia Sueli Caldeira,79,841.733.610-92,30.760.292-8,05/01/1944,Feminino,Capricórnio,Amanda Renata Malu,Danilo Ryan Ryan Caldeira,alicia_sueli_caldeira@sp.gov.br,57309-656,Rua Professora Maria Leônia Ferreira,532,Massaranduba,25/03/2022,Arapiraca,AL,(82) 3860-4404,(82) 98114-3017,,74,,A+,vermelho,"R$ 2.100,00"
Yago Gabriel Aragão,42,228.300.215-09,25.123.996-2,08/02/1981,Masculino,Aquário,Fátima Mirella Malu,Hugo Thales Aragão,yago_gabriel_aragao@imeio.com,29153-345,Rua Alfredo Couto Teiexeira,820,Nova Canaã,25/03/2022,Cariacica,ES,(27) 3913-5078,(27) 99160-5063,,89,,AB-,roxo,"R$ 3.500,00"
,,,,,,,,,,,,,,,,,,,,,,,,
Giovanni Arthur Duarte,62,190.480.116-12,30.211.472-5,14/01/1961,Masculino,Capricórnio,Andreia Jennifer Larissa,Thomas Diogo Duarte,giovanni_arthur_duarte@aquino.com.br,79076-174,Rua Veleiros,480,Jardim Centenário,25/03/2022,Campo Grande,MS,(67) 3891-9189,(67) 98206-4845,,75,,O+,roxo,"R$ 3.400,00"
Larissa Renata Isabel Pires,61,604.667.404-25,15.920.083-0,02/03/1962,Feminino,Peixes,Antônia Renata Stella,Marcelo César Caio Pires,larissa.renata.pires@taclog.com.br,64053-660,Rua José Torquato Viana,333,Campestre,25/03/2022,Teresina,PI,(86) 3604-4157,(86) 99215-0840,,50,,AB+,vermelho,"R$ 5.300,00"
Elias Matheus Geraldo Figueiredo,42,365.455.456-39,19.995.593-1,27/02/1981,Masculino,Peixes,Kamilly Stefany,Ian Bento Figueiredo,elias.matheus.figueiredo@grupoaguaviva.com.br,79645-220,Rua Cassiporé,436,Jardim Paranapunga,25/03/2022,Três Lagoas,MS,(67) 3669-9184,(67) 98102-7955,,94,,O-,verde,"R$ 5.300,00"
Augusto André Drumond,69,330.930.515-50,42.239.508-0,02/03/1954,Masculino,Peixes,Jennifer Regina Isabel,Ryan Henry Drumond,augustoandredrumond@tam.com.br,60861-680,Rua Pedro Veríssimo,544,Passaré,25/03/2022,Fortaleza,CE,(85) 2845-1781,(85) 98849-9371,,72,,B+,verde,"R$ 2.500,00"
Tereza Brenda Tatiane da Silva,63,872.060.906-05,39.714.715-6,07/01/1960,Feminino,Capricórnio,Bianca Antonella Isabel,Calebe Lucas da Silva,tereza.brenda.dasilva@eletrovip.com,66079-720,Passagem Pinheiro,203,Terra Firme,25/03/2022,Belém,PA,(91) 2759-7421,(91) 99716-2840,,56,,O+,laranja,"R$ 5.300,00"
Laura Sophie Simone Freitas,49,098.585.449-95,49.664.942-5,19/02/1974,Feminino,Aquário,Isabelle Lorena Olivia,Anthony César Sérgio Freitas,laura.sophie.freitas@fluxioneventos.com.br,64213-303,Quadra S1,757,Primavera,25/03/2022,Parnaíba,PI,(86) 3886-0440,(86) 98930-4822,,54,,A+,amarelo,"R$ 2.100,00"
Sophia Evelyn Raquel Teixeira,73,828.717.674-32,47.877.470-9,10/01/1950,Feminino,Capricórnio,Larissa Cecília Mariane,Renato Elias Teixeira,sophia_teixeira@dbacomp.com.br,71680-126,Conjunto SMDB Conjunto 12-F,929,Setor de Mansões Dom Bosco,25/03/2022,Brasília,DF,(61) 2952-1021,(61) 98547-5347,,68,,AB+,vermelho,"R$ 5.300,00"
Ian André Raul Silva,69,757.714.544-00,42.042.098-8,21/02/1954,Masculino,Peixes,Sueli Mirella Jéssica,Mateus Ryan Augusto Silva,ian-silva75@hotmail.co.uk,28085-090,Rua Poeta Marinho,999,Custodópolis,25/03/2022,Campos dos Goytacazes,RJ,(22) 2988-8617,(22) 98570-6026,,81,,A-,laranja,"R$ 1.400,00"
Laura Marli da Luz,26,031.767.735-79,36.447.979-6,01/03/1997,Feminino,Peixes,Luna Teresinha Sarah,Lucca Vicente Gabriel da Luz,laura.marli.daluz@lojasrayton.com,29212-090,Rua Doze,945,Fátima Cidade Jardim,25/03/2022,Guarapari,ES,(27) 2646-2035,(27) 99806-5426,,57,,O+,preto,"R$ 5.300,00"
Thales Geraldo Carlos Eduardo dos Santos,42,492.498.883-92,28.567.835-8,20/01/1981,Masculino,Capricórnio,Valentina Sophie,Danilo Calebe dos Santos,thales_geraldo_dossantos@tce.am.gov.br,60120-013,Avenida Barão de Studart,856,Meireles,25/03/2022,Fortaleza,CE,(85) 2668-0023,(85) 98605-4230,,64,,A-,roxo,"R$ 5.300,00"
Sophie Sarah da Mata,79,850.196.248-10,10.211.065-7,02/03/1944,Feminino,Peixes,Priscila Tatiane,Luan Guilherme da Mata,sophie.sarah.damata@cmfcequipamentos.com.br,60182-564,Travessa France Teixeira,788,Antônio Diogo,25/03/2022,Fortaleza,CE,(85) 3596-6806,(85) 98406-6309,,60,,B+,laranja,"R$ 5.300,00"
,,,,,,,,,,,,,,,,,,,,,,,,
Giovanni José Almeida,49,508.563.201-02,32.995.170-1,05/01/1974,Masculino,Capricórnio,Heloise Fabiana Natália,Marcelo Caio Isaac Almeida,giovannijosealmeida@signatreinamentos.com.br,69905-008,Travessa Felisbela do Nascimento,939,Capoeira,25/03/2022,Rio Branco,AC,(68) 3755-6133,(68) 98197-9428,,94,,B+,laranja,"R$ 5.300,00"
Débora Nair Márcia Nunes,23,466.159.905-55,26.080.235-9,08/01/2000,Feminino,Capricórnio,Heloise Marcela Raimunda,Lorenzo Nicolas Nunes,debora.nair.nunes@dc4.com.br,69313-762,Rua Vicente Eluan,929,União,25/03/2022,Boa Vista,RR,(95) 2710-4270,(95) 98815-2069,,84,,AB+,azul,"R$ 5.300,00"
Marcelo André Moreira,73,460.699.276-05,15.223.863-3,12/02/1950,Masculino,Aquário,Catarina Rosa,Ruan Yago Victor Moreira,marcelo_moreira@leiloesjudiciais.com.br,72338-663,Quadra QR 829 Conjunto 3,871,Samambaia Norte (Samambaia),25/03/2022,Brasília,DF,(61) 2606-0857,(61) 98138-7385,,92,,B+,verde,"R$ 1.400,00"
Camila Francisca Ribeiro,43,514.616.704-46,20.002.261-1,01/03/1980,Feminino,Peixes,Eliane Liz,Ruan Alexandre Ribeiro,camila_francisca_ribeiro@panevale.com.br,93145-282,Rua Alto Alegre,442,Arroio da Manteiga,25/03/2022,São Leopoldo,RS,(51) 3821-1031,(51) 98288-6087,,62,,AB+,vermelho,"R$ 5.300,00"
Miguel Emanuel Vinicius Assunção,29,046.063.774-61,32.241.185-3,06/01/1994,Masculino,Capricórnio,Carla Alana,Oliver Renato Isaac Assunção,miguel_emanuel_assuncao@akto.com.br,41603-020,Rua B,830,Praia do Flamengo,25/03/2022,Salvador,BA,(71) 3919-9223,(71) 99312-8226,,63,,AB+,laranja,"R$ 5.300,00"
Severino Francisco Silveira,28,006.893.802-08,31.853.732-1,02/01/1995,Masculino,Capricórnio,Vera Priscila,Sebastião Marcos Davi Silveira,severino-silveira88@unimedara.com.br,67120-683,Passagem Seduc,196,Jibóia Branca,25/03/2022,Ananindeua,PA,(91) 2607-0220,(91) 98375-5608,,77,,O+,roxo,"R$ 5.300,00"
Sabrina Adriana Nascimento,52,195.812.038-34,11.639.227-7,01/03/1971,Feminino,Peixes,Eliane Sandra Ayla,Giovanni Gael Sebastião Nascimento,sabrina_adriana_nascimento@pierproj.com.br,20775-140,Rua Capitão Jesus,357,Cachambi,25/03/2022,Rio de Janeiro,RJ,(21) 3978-1930,(21) 98915-7575,,74,,O+,vermelho,"R$ 1.400,00"
Raimunda Eduarda Milena Brito,74,579.409.722-19,39.208.418-1,27/01/1949,Feminino,Aquário,Natália Helena Laura,Anthony Martin Heitor Brito,raimunda.eduarda.brito@unidademovel.com,64017-770,Avenida Miguel Rosa,243,Redenção,25/03/2022,Teresina,PI,(86) 2691-0661,(86) 98280-2122,,66,,AB-,roxo,"R$ 5.300,00"
Arthur Matheus Benício Costa,66,486.828.474-69,29.906.274-0,14/01/1957,Masculino,Capricórnio,Juliana Cláudia,Erick Alexandre Costa,arthur_costa@elconsultoria.com.br,69314-106,Rua Aruanã,152,Santa Tereza,25/03/2022,Boa Vista,RR,(95) 3948-9478,(95) 98122-1465,,69,,O-,laranja,"R$ 1.400,00"
Nelson Tiago Guilherme Farias,33,577.669.814-67,28.796.268-4,14/01/1990,Masculino,Capricórnio,Mariane Beatriz,Henry Benedito Otávio Farias,nelson-farias80@megapremiumvip.com,73750-067,Quadra 4 MR 3,859,Setor Oeste,25/03/2022,Planaltina,GO,(61) 3759-3651,(61) 98701-8479,,65,,B+,roxo,"R$ 1.600,00"
Nair Giovana da Conceição,48,523.002.138-18,50.377.475-3,26/01/1975,Feminino,Aquário,Alessandra Isabella Flávia,Eduardo Renato Henrique da Conceição,nairgiovanadaconceicao@outlock.com.br,44090-612,Rua Santa Quitéria,729,Tomba,25/03/2022,Feira de Santana,BA,(75) 3564-5675,(75) 98461-8324,,68,,O-,verde,"R$ 5.300,00"
Nathan Geraldo Bento da Cunha,80,323.883.130-58,39.439.679-0,11/02/1943,Masculino,Aquário,Mariane Sebastiana,Heitor Alexandre da Cunha,nathan.geraldo.dacunha@unink.com.br,76808-308,Rua Barbacena,412,Conceição,25/03/2022,Porto Velho,RO,(69) 2846-5486,(69) 99844-9064,,91,,A-,preto,"R$ 5.300,00"
Fábio Kevin Porto,33,827.027.700-29,16.324.269-0,07/01/1990,Masculino,Capricórnio,Emanuelly Brenda,César Thomas Isaac Porto,fabiokevinporto@pobox.com,68907-640,Rua Alebeus,367,Renascer,25/03/2022,Macapá,AP,(96) 3994-8973,(96) 98822-3059,,77,,B+,azul,"R$ 3.500,00"
Carolina Helena Gomes,45,218.749.592-26,23.370.105-9,01/03/1978,Feminino,Peixes,Lorena Regina Ester,Luís Osvaldo Gomes,carolina_helena_gomes@profiledesign.com.br,85910-500,Avenida Senador Attilio Fontana,779,Sadia,25/03/2022,Toledo,PR,(45) 3948-5218,(45) 99740-6992,,53,,O-,roxo,"R$ 3.500,00"
Luciana Luiza Barbosa,59,344.467.359-00,36.848.206-6,21/01/1964,Feminino,Aquário,Andreia Marcela Francisca,Breno Bernardo Raul Barbosa,lucianaluizabarbosa@geometrabte.com.br,69918-314,Rua Daniel de Matos,309,Isaura Parente,25/03/2022,Rio Branco,AC,(68) 2967-3509,(68) 98504-9196,,80,,B+,amarelo,"R$ 2.500,00"
Emanuelly Nair Moura,77,721.443.361-30,27.199.772-2,02/03/1946,Feminino,Peixes,Liz Eduarda Rayssa,Leonardo Gael Edson Moura,emanuelly.nair.moura@atrix.com.br,59074-690,Rua de Santos Reis,166,Guarapes,25/03/2022,Natal,RN,(84) 3795-2185,(84) 99828-4736,,68,,O-,preto,"R$ 2.500,00"
Joana Olivia Cavalcanti,48,398.382.615-64,11.839.648-1,01/03/1975,Feminino,Peixes,Sandra Marcela Heloise,Renato Daniel Diogo Cavalcanti,joana.olivia.cavalcanti@siemens.com,79063-644,Rua Graciana Souza da Silva,630,Vila Julieta,25/03/2022,Campo Grande,MS,(67) 3530-6916,(67) 99410-6616,,65,,B-,roxo,"R$ 1.400,00"
Breno Edson Igor Souza,36,918.219.396-70,36.425.992-9,23/01/1987,Masculino,Aquário,Alessandra Nina,Carlos Eduardo Henrique Souza,breno_edson_souza@sigtechbr.com,54090-460,Rua da Palha,734,Vila Rica,25/03/2022,Jaboatão dos Guararapes,PE,(81) 3795-6014,(81) 98608-0084,,99,,B+,verde,"R$ 5.300,00"
Enzo Arthur Alves,53,481.082.706-26,42.766.268-0,03/01/1970,Masculino,Capricórnio,Isabela Eliane Elza,Francisco Diogo Alves,enzo_alves@ericsson.com,49071-203,Rua A,495,Cidade Nova,25/03/2022,Aracaju,SE,(79) 3915-3873,(79) 99552-6720,,61,,B+,vermelho,"R$ 3.400,00"
Tereza Clarice Jaqueline Fernandes,75,972.561.789-48,24.329.128-0,09/02/1948,Feminino,Aquário,Alícia Rosa,Cauã Carlos Igor Fernandes,tereza_fernandes@stembalagens.com.br,74735-340,Rua MA 11,330,Residencial Olinda,25/03/2022,Goiânia,GO,(62) 2607-6284,(62) 98518-1333,,72,,B+,vermelho,"R$ 1.400,00"
,,,,,,,,,,,,,,,,,,,,,,,,
Pedro Manuel Jorge Araújo,68,238.243.475-98,50.688.470-3,10/02/1955,Masculino,Aquário,Benedita Olivia,Pedro Henrique Yuri Araújo,pedro_araujo@jonasmartinez.com,88906-002,Rua das Camélias,803,Jardim das Avenidas,26/03/2022,Araranguá,SC,(48) 2941-0969,(48) 99414-0132,,82,,AB+,vermelho,"R$ 5.300,00"
Gustavo Giovanni José dos Santos,70,892.134.464-03,50.086.661-2,23/01/1953,Masculino,Aquário,Cecília Antonella Aline,Erick Tiago dos Santos,gustavogiovannidossantos@sigtechbr.com,29178-767,Rua José Francisco II,225,Colina da Serra,26/03/2022,Serra,ES,(27) 3535-0617,(27) 99563-5418,,80,,AB-,verde,"R$ 1.400,00"
Daniela Luciana Isabelle Pereira,28,621.487.407-41,39.536.829-7,23/02/1995,Feminino,Peixes,Isadora Lívia,Isaac Benjamin Augusto Pereira,daniela.luciana.pereira@videoaction.com.br,24737-740,Rua Expedicionário Ataualpa Pereira Leite Filho,947,Santa Isabel,26/03/2022,São Gonçalo,RJ,(21) 3540-2842,(21) 98140-3643,,58,,A-,azul,"R$ 1.400,00"
Pietro Felipe Brito,19,217.520.061-27,48.845.731-2,05/02/2004,Masculino,Aquário,Antonella Allana Lúcia,Vinicius Lorenzo Pedro Brito,pietro_felipe_brito@engenharia.ufjf.br,,,,,,,,,,,,,,,
Raquel Malu Freitas,23,291.605.537-15,34.275.319-8,27/01/2000,Feminino,Aquário,Raimunda Allana Bruna,Osvaldo Enzo Sebastião Freitas,raquel.malu.freitas@fernandesfilpi.com.br,26060-160,Rua Dona Sandra,564,Figueiras,26/03/2022,Nova Iguaçu,RJ,(21) 2539-7971,(21) 98502-9496,,78,,B+,vermelho,"R$ 5.300,00"
Nathan Severino Lima,21,602.644.714-82,26.806.721-1,02/03/2002,Masculino,Peixes,Stefany Cláudia,Theo Calebe Lima,nathan_severino_lima@lbrazil.com.br,64607-020,Travessa José Armínio Fialho,840,Boa Sorte,26/03/2022,Picos,PI,(89) 2531-2475,(89) 99271-0521,,70,,O+,azul,"R$ 3.400,00"
Roberto Benedito Duarte,71,245.277.940-78,39.048.435-0,02/03/1952,Masculino,Peixes,Valentina Rafaela Yasmin,Ryan Igor Anderson Duarte,roberto.benedito.duarte@teravida.com.br,58037-402,Rua Luciano Locatelli de Souza,658,Jardim Oceania,26/03/2022,João Pessoa,PB,(83) 2548-6405,(83) 99540-3665,,85,,B+,vermelho,"R$ 3.400,00"
Iago Caio da Silva,63,236.172.769-20,27.457.554-1,01/03/1960,Masculino,Peixes,Laís Laura Carolina,Pedro Felipe da Silva,iagocaiodasilva@techdomus.com.br,42806-010,Rua do Campo,934,Bairro dos 46,26/03/2022,Camaçari,BA,(71) 2928-7053,(71) 98313-9081,,72,,O-,vermelho,"R$ 3.400,00"
Gabrielly Carolina Nunes,33,565.962.541-00,34.394.880-1,02/03/1990,Feminino,Peixes,Maria Olivia Marcela,Heitor Vinicius Nelson Nunes,gabrielly_carolina_nunes@nonesiglio.com.br,69313-452,Rua Jafet,823,Cambará,26/03/2022,Boa Vista,RR,(95) 2628-8430,(95) 99239-1017,,79,,A+,amarelo,"R$ 3.500,00"
Jennifer Sandra de Paula,33,896.673.779-03,14.032.398-3,15/02/1990,Feminino,Aquário,Rosângela Evelyn,Augusto Raul de Paula,jennifer.sandra.depaula@land.com.br,66814-060,Passagem Daniel Reis,241,Paracuri (Icoaraci),26/03/2022,Belém,PA,(91) 3590-4690,(91) 98945-1798,,62,,B+,verde,"R$ 5.300,00"
Pietro Pietro da Rocha,32,918.055.073-89,27.556.815-5,02/03/1991,Masculino,Peixes,Malu Sara Eliane,Iago Matheus Raul da Rocha,pietro.pietro.darocha@agreonoma.eng.br,44028-236,Rua Solidonia,242,Gabriela,26/03/2022,Feira de Santana,BA,(75) 3647-2246,(75) 98763-3816,,90,,AB-,azul,"R$ 1.400,00"
,,,,,,,,,,,,,,,,,,,,,,,,
Renan Noah Assis,26,533.595.488-41,26.977.744-1,14/02/1997,Masculino,Aquário,Maitê Regina,Victor Ricardo Vicente Assis,renan.noah.assis@mv1.com.br,50810-010,Travessa Afonso Olindense,220,Várzea,26/03/2022,Recife,PE,(81) 3794-5382,(81) 99242-2691,,89,,O-,preto,"R$ 1.600,00"
Manuela Hadassa Marlene Cardoso,80,235.543.899-43,45.628.238-5,02/01/1943,Feminino,Capricórnio,Bruna Antônia Nair,Kaique Benedito João Cardoso,manuela_hadassa_cardoso@mirafactoring.com.br,68908-511,Rua Vitória Régia,229,São Lázaro,26/03/2022,Macapá,AP,(96) 3751-3648,(96) 99191-4873,,83,,B+,roxo,"R$ 1.400,00"
Bryan Juan da Luz,36,994.124.163-50,48.454.028-2,09/01/1987,Masculino,Capricórnio,Isabelle Rafaela,Pietro Eduardo da Luz,bryan_daluz@gruposantin.com.br,75902-882,Rua L - 3,272,Lindolfina,26/03/2022,Rio Verde,GO,(64) 2930-2512,(64) 98403-6304,,68,,O-,azul,"R$ 2.500,00"
Raul Lucas Nicolas Aparício,79,429.731.379-00,34.082.207-7,12/01/1944,Masculino,Capricórnio,Sophia Mariana,Manoel César Tomás Aparício,raul_lucas_aparicio@robiel.com.br,71951-780,Avenida Arniqueira QS 01,416,Areal (Águas Claras),26/03/2022,Brasília,DF,(61) 2996-8690,(61) 99728-4324,,78,,A-,laranja,"R$ 1.400,00"
Isabel Josefa Rezende,79,480.912.545-98,34.092.492-5,02/03/1944,Feminino,Peixes,Tatiane Maya Márcia,Marcelo Murilo Rezende,isabel.josefa.rezende@defensoria.sp.gov.br,60337-630,Travessa Pacoti,123,Álvaro Weyne,26/03/2022,Fortaleza,CE,(85) 2998-2584,(85) 98525-3998,,60,,O+,vermelho,"R$ 2.500,00"
Jaqueline Marlene Figueiredo,59,715.671.917-38,33.978.069-1,10/02/1964,Feminino,Aquário,Carolina Eduarda,Jorge Gael Figueiredo,jaqueline-figueiredo99@br.nestle.com,04716-110,Alameda dos Ciprestes,846,Chácara Santo Antônio (Zona Sul),26/03/2022,São Paulo,SP,(11) 3791-8521,(11) 98373-5131,,80,,O-,vermelho,"R$ 3.500,00"
Yago Tomás Bernardes,22,351.852.592-13,40.364.071-4,01/03/2001,Masculino,Peixes,Francisca Olivia,Mário Enrico Bernardes,yago_bernardes@dcazzainteriores.com.br,49065-210,Avenida Coelho e Campos,618,Industrial,26/03/2022,Aracaju,SE,(79) 3835-0340,(79) 98548-5416,,73,,B-,verde,"R$ 1.600,00"
Calebe Filipe Farias,51,916.750.581-30,29.428.363-8,06/02/1972,Masculino,Aquário,Louise Mariah Camila,Paulo Fábio Gustavo Farias,calebe.filipe.farias@icloub.com,59073-246,Rua Santa Beatriz,513,Planalto,26/03/2022,Natal,RN,(84) 2643-9317,(84) 98659-9100,,93,,B-,roxo,"R$ 2.500,00"
Nina Mirella Josefa Ramos,39,201.168.901-50,39.315.548-1,26/02/1984,Feminino,Peixes,Amanda Marli,Benjamin Henrique Ramos,nina_ramos@ocaconsultoria.com,77024-730,Quadra 1404 Sul Alameda 5,437,Plano Diretor Sul,26/03/2022,Palmas,TO,(63) 3631-2381,(63) 99262-2228,,83,,O+,vermelho,"R$ 3.400,00"
Luan Fábio Erick Caldeira,49,826.141.411-60,33.190.056-7,10/02/1974,Masculino,Aquário,Stefany Fátima Milena,Guilherme Igor Benício Caldeira,luan_caldeira@controtel.com.br,69317-235,Rua Antonio Vieira da Silva,102,Alvorada,26/03/2022,Boa Vista,RR,(95) 3999-1950,(95) 98222-3284,,96,,O+,verde,"R$ 2.500,00"
Raimundo Benício Monteiro,26,277.064.372-05,37.670.465-2,05/01/1997,Masculino,Capricórnio,Beatriz Carla,Márcio Isaac Monteiro,raimundo.benicio.monteiro@boll.com.br,54774-555,Rua dos Economistas,593,Céu Azul,26/03/2022,Camaragibe,PE,(81) 2530-6558,(81) 99219-4653,,60,,O-,laranja,"R$ 2.100,00"
Caio Igor Kauê Sales,59,119.369.983-51,29.014.430-9,02/03/1964,Masculino,Peixes,Adriana Ester Lara,Gustavo Isaac Sales,caio-sales93@termakui.com.br,89291-795,Rua Alfredo Jorge Rueckl,792,Serra Alta,26/03/2022,São Bento do Sul,SC,(47) 2662-4068,(47) 98205-9353,,77,,AB+,amarelo,"R$ 3.400,00"
Isabelle Lavínia Moreira,19,077.110.749-80,23.428.574-6,17/02/2004,Feminino,Aquário,Francisca Alessandra Isabelly,Bento Kaique Moreira,isabelle_lavinia_moreira@ramiresmotors.com.br,69911-060,Rua Rádio Farol,192,Aeroporto Velho,26/03/2022,Rio Branco,AC,(68) 2956-6063,(68) 99485-4795,,60,,O+,laranja,"R$ 2.500,00"
Alana Daiane Campos,53,324.704.745-07,23.565.725-6,08/01/1970,Feminino,Capricórnio,Carla Heloise,Diego Arthur Campos,alanadaianecampos@lognat.com.br,50110-030,Rua Engenho Taquara,971,Santo Amaro,26/03/2022,Recife,PE,(81) 2607-1597,(81) 98170-7813,,68,,A-,amarelo,"R$ 5.300,00"
Nelson Juan Iago Moraes,40,641.053.361-69,23.711.929-8,01/03/1983,Masculino,Peixes,Luciana Fernanda,Levi Julio Moraes,nelsonjuanmoraes@arcante.com.br,,,,,,,,,,,,,,,
Severino Tomás Márcio Lopes,60,310.112.370-40,20.391.416-8,27/02/1963,Masculino,Peixes,Mariane Isabel,Breno Breno Lopes,severino_tomas_lopes@tjsp.jus.br,58701-644,Rua Biró Cirilo,185,Bivar Olinto,26/03/2022,Patos,PB,(83) 2603-5354,(83) 99952-5670,,92,,B-,roxo,"R$ 3.400,00"
Teresinha Brenda Alice Pires,46,372.747.090-97,26.922.450-6,19/01/1977,Feminino,Capricórnio,Alana Valentina,Bento Thomas Lucas Pires,teresinha_pires@juliosimoes.com.br,60331-140,Travessa Canário,800,Barra do Ceará,26/03/2022,Fortaleza,CE,(85) 2523-6433,(85) 99295-4725,,62,,O-,preto,"R$ 2.500,00"
Raimundo Victor Novaes,52,464.951.688-96,21.188.794-8,02/03/1971,Masculino,Peixes,Lara Emilly,Isaac Juan Gustavo Novaes,raimundovictornovaes@retrosfessa.com.br,72242-109,Quadra QNP 25 Conjunto D,807,Ceilândia Norte (Ceilândia),26/03/2022,Brasília,DF,(61) 2632-4511,(61) 98834-0911,,73,,A-,vermelho,"R$ 1.400,00"
Edson Benício Souza,19,561.975.265-81,39.207.183-6,05/01/2004,Masculino,Capricórnio,Jennifer Flávia,Vicente Cláudio Gustavo Souza,edson_souza@vinax.com.br,83704-530,Rua Pedro de Alcântara Meira,803,Fazenda Velha,26/03/2022,Araucária,PR,(41) 2526-7532,(41) 98151-6052,,87,,AB-,vermelho,"R$ 3.500,00"
Lorenzo Iago Vitor Fogaça,57,677.752.587-48,45.121.423-7,26/02/1966,Masculino,Peixes,Mariane Cristiane,Julio Leandro Fogaça,lorenzo.iago.fogaca@munhozengenharia.com.br,97542-230,Rua Doutor Severino Ribeiro,232,Cidade Alta,26/03/2022,Alegrete,RS,(55) 3852-5433,(55) 99929-0905,,95,,AB+,roxo,"R$ 3.500,00"
José Igor Marcos Vinicius Araújo,18,430.456.784-59,21.099.210-4,03/01/2005,Masculino,Capricórnio,Pietra Beatriz Rosângela,Caio Kevin Oliver Araújo,jose_araujo@panfletosecia.com,61945-050,Rua Izaura Barros,516,Cônego Raimundo Pinto,26/03/2022,Maranguape,CE,(85) 2911-8328,(85) 99885-8179,,84,,B+,vermelho,"R$ 2.500,00"
Rodrigo Diogo Matheus das Neves,57,762.085.675-72,47.258.767-5,02/03/1966,Masculino,Peixes,Carla Luna Melissa,Cauã Carlos Eduardo das Neves,rodrigo_diogo_dasneves@soluxenergiasolar.com.br,76824-806,Rua Dom Pedrito,898,Escola de Polícia,26/03/2022,Porto Velho,RO,(69) 3558-2813,(69) 99623-0404,,73,,O-,laranja,"R$ 2.100,00"
Kaique Gael Igor Ribeiro,67,459.205.183-16,21.118.006-3,16/02/1956,Masculino,Aquário,Tânia Alana Ayla,Nelson Julio Ribeiro,kaique-ribeiro89@jmmarcenaria.com.br,08554-200,Rua Alcântara,816,Cidade Kemel,26/03/2022,Poá,SP,(11) 2523-7588,(11) 99471-5717,,65,,B-,vermelho,"R$ 5.300,00"
Luan Isaac Dias,31,393.608.663-00,31.525.183-9,09/02/1992,Masculino,Aquário,Liz Vanessa,Yuri Francisco Enrico Dias,luan_dias@db4.com.br,41213-195,2ª Travessa Oliveira da Sussuarana,349,Sussuarana,26/03/2022,Salvador,BA,(71) 3721-1692,(71) 98623-6472,,86,,A-,amarelo,"R$ 5.300,00"
Gustavo Theo Isaac dos Santos,78,151.499.380-50,14.121.201-9,07/01/1945,Masculino,Capricórnio,Isabel Joana,Sebastião Ian dos Santos,gustavo_theo_dossantos@sodexo.com,62030-360,Avenida Getúlio Vargas,896,Junco,26/03/2022,Sobral,CE,(88) 2532-6844,(88) 99256-4536,,92,,A+,laranja,"R$ 2.100,00"
Cecília Lívia Campos,57,572.152.768-48,49.066.816-1,01/03/1966,Feminino,Peixes,Daniela Heloise Emanuelly,Pedro Marcelo Calebe Campos,cecilialiviacampos@gineco.med.br,77017-262,Quadra 901 Sul Avenida LO 21,105,Plano Diretor Sul,26/03/2022,Palmas,TO,(63) 2992-5655,(63) 99394-4656,,79,,A+,vermelho,"R$ 5.300,00"
,,,,,,,,,,,,,,,,,,,,,,,,
Helena Isabela Sandra Barbosa,23,040.643.833-11,16.060.795-4,02/03/2000,Feminino,Peixes,Lara Alice Kamilly,Erick Theo Barbosa,helena.isabela.barbosa@tam.com.br,88503-306,Rua Doutor Edmundo Wering,667,Vila Nova,26/03/2022,Lages,SC,(49) 3766-6628,(49) 99447-3584,,80,,O+,preto,"R$ 5.300,00"
Jorge Mário Aparício,31,245.243.399-30,17.596.335-6,05/02/1992,Masculino,Aquário,Raimunda Simone,Bryan Manoel Aparício,jorge_aparicio@zf.com,65057-530,Travessa São Benedito,476,São Bernardo,26/03/2022,São Luís,MA,(98) 2806-6179,(98) 99185-2290,,87,,B-,azul,"R$ 1.600,00"
Igor Carlos Felipe Moraes,79,249.340.666-40,50.704.333-9,20/02/1944,Masculino,Peixes,Sônia Sônia Fabiana,Thiago Márcio Moraes,igor_moraes@cpfl.com.br,41490-550,Rua Nelson Antônio Daiha,471,Mussurunga I,26/03/2022,Salvador,BA,(71) 2959-7960,(71) 98840-3343,,71,,AB-,roxo,"R$ 1.600,00"
